"","year","hiv_diag_rate","aids_rate","plwha_rate","death_rate","crime_rate","unemployment_rate","borough_cat","female","white","black","american_indian","asian","hawaiian","hispanic","high_school","bachelor","poverty","labor_force","age_under_18","age_over_64","age_18_64"
"25",2015,1.301388859258,0.576024577048621,0.501568066904188,0.874703987370128,0.690162780278625,5.8,"Staten Island","0.514","0.745","0.116","0.007","0.109","0.001","0.186","0.885","0.33","0.117","0.581",0.218,0.167,0.615
"26",2016,3.58816785405903,2.51243946320431,2.13528475757847,3.42933547420129,1.50428703032543,7.1,"Bronx","0.528","0.447","0.436","0.029","0.046","0.004","0.564","0.72","0.198","0.273","0.597",0.246,0.133,0.621
"27",2016,2.28769912564379,1.36942548009742,1.17710703876712,1.52513275042919,1.18445322793149,5.3,"Brooklyn","0.526","0.498","0.338","0.009","0.127","0.001","0.189","0.816","0.365","0.189","0.635",0.227,0.144,0.629
"28",2016,2.67360627238121,1.53858474165334,2.03421081007117,1.8223401243353,1.67806627642945,4.6,"Manhattan","0.526","0.646","0.178","0.012","0.128","0.002","0.256","0.87","0.608","0.156","0.67",0.143,0.17,0.687
"29",2016,1.82900424167601,0.954847802639683,0.813144802445128,0.802430782500016,0.940861299615102,4.5,"Queens","0.515","0.478","0.207","0.013","0.269","0.002","0.282","0.815","0.315","0.116","0.641",0.2,0.163,0.637
"30",2016,1.64273675676829,0.768032769398161,0.507541655110618,1.06671217971967,0.66221492116997,5.2,"Staten Island","0.514","0.745","0.116","0.007","0.109","0.001","0.186","0.885","0.33","0.117","0.581",0.218,0.167,0.615
"31",2017,3.27050309434355,2.31028916156718,2.18394522304398,3.17664759715488,1.43447297972432,6.3,"Bronx","0.528","0.447","0.436","0.029","0.046","0.004","0.564","0.72","0.198","0.273","0.597",0.246,0.133,0.621
"32",2017,2.46336886653092,1.42132790354134,1.19982433025911,1.61296762087276,1.12987583343315,4.7,"Brooklyn","0.526","0.498","0.338","0.009","0.127","0.001","0.189","0.816","0.365","0.189","0.635",0.227,0.144,0.629
"33",2017,2.43399061589421,1.36833151204416,2.04852469270868,1.88539687604241,1.63625965004764,4.1,"Manhattan","0.526","0.646","0.178","0.012","0.128","0.002","0.256","0.87","0.608","0.156","0.67",0.143,0.17,0.687
"34",2017,1.76176143867322,0.788982221899457,0.824800221632279,0.658979469427387,0.867970101160073,4.1,"Queens","0.515","0.478","0.207","0.013","0.269","0.002","0.282","0.815","0.315","0.116","0.641",0.2,0.163,0.637
"35",2017,0.853369743775734,0.618693064237408,0.520555543703198,0.874703987370128,0.593731999231967,4.7,"Staten Island","0.514","0.745","0.116","0.007","0.109","0.001","0.186","0.885","0.33","0.117","0.581",0.218,0.167,0.615
"36",2018,3.17664759715488,2.5629770386136,2.21997129465717,3.3860175524219,1.39028869950935,5.8,"Bronx","0.528","0.447","0.436","0.029","0.046","0.004","0.564","0.72","0.198","0.273","0.597",0.246,0.133,0.621
"37",2018,2.22781171397772,1.24565816265421,1.21363835988342,1.49319279754062,1.11757895157105,4.3,"Brooklyn","0.526","0.498","0.338","0.009","0.127","0.001","0.189","0.816","0.365","0.189","0.635",0.227,0.144,0.629
"38",2018,2.3646281890164,1.34941448653202,2.06876591000667,1.61425284370186,1.68865981071624,3.7,"Manhattan","0.526","0.646","0.178","0.012","0.128","0.002","0.256","0.87","0.608","0.156","0.67",0.143,0.17,0.687
"39",2018,1.60486156500003,0.914502120838007,0.83757635420281,0.555873838156435,0.848828316571944,3.7,"Queens","0.515","0.478","0.207","0.013","0.269","0.002","0.282","0.815","0.315","0.116","0.641",0.2,0.163,0.637
"40",2018,0.661361551426194,0.426684871887867,0.539969705374096,0.576024577048621,0.575811234612677,4.2,"Staten Island","0.514","0.745","0.116","0.007","0.109","0.001","0.186","0.885","0.33","0.117","0.581",0.218,0.167,0.615
"41",2019,3.32104066975283,2.41136431238575,2.23953655599419,3.26328344071365,1.40010742844601,5.4,"Bronx","0.528","0.447","0.436","0.029","0.046","0.004","0.564","0.72","0.198","0.273","0.597",0.246,0.133,0.621
"42",2019,1.89244220864774,1.14185331576636,1.21711182976005,1.42931289176348,1.0954206092546,4.1,"Brooklyn","0.526","0.498","0.338","0.009","0.127","0.001","0.189","0.816","0.365","0.189","0.635",0.227,0.144,0.629
"43",2019,2.29526576213858,1.38724853755629,2.06618058318667,1.99259335394448,1.70902714151764,3.5,"Manhattan","0.526","0.646","0.178","0.012","0.128","0.002","0.256","0.87","0.608","0.156","0.67",0.143,0.17,0.687
"44",2019,1.29106181765366,0.591736666424593,0.837934982485491,0.708290858296103,0.853938769600156,3.5,"Queens","0.515","0.478","0.207","0.013","0.269","0.002","0.282","0.815","0.315","0.116","0.641",0.2,0.163,0.637
"45",2019,0.810701256586948,0.341347897510294,0.541676444861647,0.597358820643014,0.516075352548375,3.9,"Staten Island","0.514","0.745","0.116","0.007","0.109","0.001","0.186","0.885","0.33","0.117","0.581",0.218,0.167,0.615
